hr	BioMath	sleep
0.0	3.841	14
0.5	3.841	14
1.0	3.841	14
1.5	3.841	14
2.0	3.841	14
2.5	3.841	14
3.0	3.841	14
3.5	3.841	14
4.0	3.841	14
4.5	3.841	14
5.0	3.841	14
5.5	3.841	14
6.0	3.841	14
6.5	3.841	14
7.0	3.841	14
7.5	3.841	
8.0	3.938	
8.5	4.031	
9.0	4.121	
9.5	4.214	
10.0	4.299	
10.5	4.386	
11.0	4.462	
11.5	4.535	
12.0	4.594	
12.5	4.642	
13.0	4.672	
13.5	4.684	
14.0	4.674	
14.5	4.639	
15.0	4.584	
15.5	4.504	
16.0	4.411	
16.5	4.301	
17.0	4.191	
17.5	4.088	
18.0	4.003	
18.5	3.945	
19.0	3.925	
19.5	3.952	
20.0	4.034	
20.5	4.175	
21.0	4.380	
21.5	4.651	
22.0	4.989	
22.5	5.391	
23.0	5.856	
23.5	6.378	
24.0	6.953	
24.5	7.575	
25.0	8.235	
25.5	8.846	14
26.0	8.121	14
26.5	7.517	14
27.0	7.023	14
27.5	6.609	14
28.0	6.257	14
28.5	5.951	14
29.0	5.684	14
29.5	5.447	14
30.0	5.236	14
30.5	5.047	14
31.0	4.875	14
31.5	4.732	
32.0	4.830	
32.5	4.931	
33.0	5.031	
33.5	5.127	
34.0	5.217	
34.5	5.297	
35.0	5.363	
35.5	5.412	
36.0	5.437	
36.5	5.435	
37.0	5.402	
37.5	5.337	
38.0	5.239	
38.5	5.110	
39.0	4.956	
39.5	4.783	
40.0	4.601	
40.5	4.419	
41.0	4.248	
41.5	4.098	
42.0	3.980	
42.5	3.902	
43.0	3.873	
43.5	3.899	
44.0	3.986	
44.5	4.137	
45.0	4.355	
45.5	4.640	
46.0	4.992	
46.5	5.409	
47.0	5.888	
47.5	6.424	
48.0	7.011	
48.5	7.643	
49.0	8.314	
49.5	8.937	14
50.0	8.255	14
50.5	7.690	14
51.0	7.228	14
51.5	6.842	14
52.0	6.513	14
52.5	6.228	14
53.0	5.977	14
53.5	5.753	14
54.0	5.553	14
54.5	5.372	14
55.0	5.208	14
55.5	5.069	
56.0	5.167	
56.5	5.269	
57.0	5.370	
57.5	5.466	
58.0	5.557	
58.5	5.638	
59.0	5.704	
59.5	5.753	
60.0	5.779	
60.5	5.777	
61.0	5.745	
61.5	5.680	
62.0	5.582	
62.5	5.453	
63.0	5.299	
63.5	5.127	
64.0	4.945	
64.5	4.763	
65.0	4.592	
65.5	4.443	
66.0	4.325	
66.5	4.248	
67.0	4.220	
67.5	4.247	
68.0	4.335	
68.5	4.487	
69.0	4.706	
69.5	4.992	
70.0	5.345	
70.5	5.763	
71.0	6.242	
71.5	6.779	
72.0	7.367	
72.5	8.000	
73.0	8.671	
73.5	9.296	14
74.0	8.621	14
74.5	8.061	14
75.0	7.603	14
75.5	7.220	14
76.0	6.892	14
76.5	6.607	14
77.0	6.355	14
77.5	6.130	14
78.0	5.928	14
78.5	5.744	14
79.0	5.576	14
79.5	5.433	
80.0	5.532	
