hr	BioMath	test	sleep
0.0	3.841		14
0.5	3.841		14
1.0	3.841		14
1.5	3.841		14
2.0	3.841		14
2.5	3.841		14
3.0	3.841		14
3.5	3.841		14
4.0	3.841		14
4.5	3.841		14
5.0	3.841		14
5.5	3.841		14
6.0	3.841		14
6.5	3.841		14
7.0	3.841		14
7.5	3.841		
8.0	3.938		
8.5	4.031		
9.0	4.121		
9.5	4.214		
10.0	4.299		
10.5	4.386		
11.0	4.462		
11.5	4.535		
12.0	4.594		
12.5	4.642		
13.0	4.672		
13.5	4.684		
14.0	4.674		
14.5	4.639		
15.0	4.584		
15.5	4.504		
16.0	4.411		
16.5	4.301		
17.0	4.191		
17.5	4.088		
18.0	4.003		
18.5	3.945		
19.0	3.925		
19.5	3.952		
20.0	4.034		
20.5	4.175		
21.0	4.380		
21.5	4.651		
22.0	4.989		
22.5	5.391		
23.0	5.856		
23.5	6.313		14
24.0	5.742		14
24.5	5.326		14
25.0	5.031		14
25.5	4.816		14
26.0	4.656		14
26.5	4.530		14
27.0	4.427		14
27.5	4.338		14
28.0	4.258		14
28.5	4.184		14
29.0	4.114		14
29.5	4.047		14
30.0	3.981		14
30.5	3.916		14
31.0	3.853		14
31.5	3.799		
32.0	3.891		
32.5	3.985		
33.0	4.079		
33.5	4.171		
34.0	4.260		
34.5	4.344		
35.0	4.423		
35.5	4.493		
36.0	4.553		
36.5	4.598		
37.0	4.627		
37.5	4.635		
38.0	4.620	14	
38.5	4.581		
39.0	4.519		
39.5	4.435		
40.0	4.334		
40.5	4.222		
41.0	4.108		
41.5	4.002		
42.0	3.915		
42.5	3.856		
43.0	3.836		
43.5	3.864		
44.0	3.946		
44.5	4.089		
45.0	4.296		
45.5	4.569		
46.0	4.908	14	
46.5	5.313		
47.0	5.779		
47.5	6.303		
48.0	6.880	14	
48.5	7.503		
49.0	8.164		14
49.5	8.035		14
50.0	7.428		14
50.5	6.938		14
51.0	6.533		14
51.5	6.192		14
52.0	5.898		14
52.5	5.641		14
53.0	5.415		14
53.5	5.212		14
54.0	5.030		14
54.5	4.864		14
55.0	4.713		14
55.5	4.575		14
56.0	4.448		14
56.5	4.330		14
57.0	4.229		
57.5	4.313		
58.0	4.397		
58.5	4.479		
59.0	4.558		
59.5	4.632		
60.0	4.700	14	
60.5	4.760		
61.0	4.810		
61.5	4.848		
62.0	4.871		
62.5	4.878		
63.0	4.868		
63.5	4.840		
64.0	4.796		
64.5	4.739		
65.0	4.674		
65.5	4.608		
66.0	4.550		
66.5	4.511		
67.0	4.500		
67.5	4.528		
68.0	4.603	14	
68.5	4.733		
69.0	4.924		
69.5	5.178		
70.0	5.498	14	
70.5	5.883		
71.0	6.330		
71.5	6.837		14
72.0	6.642		14
72.5	6.125		14
73.0	5.741		14
73.5	5.447		14
74.0	5.216		14
74.5	5.028		14
75.0	4.871		14
75.5	4.733		14
76.0	4.611		14
76.5	4.500		14
77.0	4.397		14
77.5	4.300		14
78.0	4.209		14
78.5	4.122		14
79.0	4.038		14
79.5	3.967		
80.0	4.057		
80.5	4.150		
81.0	4.241	14	
81.5	4.331		
82.0	4.418		
82.5	4.501		
83.0	4.579		
83.5	4.647		
84.0	4.706		
84.5	4.750		
85.0	4.777		
85.5	4.784		
86.0	4.768		
86.5	4.729		
87.0	4.666		
87.5	4.582		
88.0	4.480		
88.5	4.368		
89.0	4.254	14	
89.5	4.147		
90.0	4.058		
90.5	3.998		
91.0	3.977	14	
91.5	4.004		
92.0	4.085		
92.5	4.226		
93.0	4.432		
93.5	4.703		
94.0	5.041		
94.5	5.444		
95.0	5.909		
95.5	6.367		14
96.0	5.794		14
96.5	5.376		14
97.0	5.080		14
97.5	4.864		14
98.0	4.703		14
98.5	4.576		14
99.0	4.471		14
99.5	4.381		14
100.0	4.301		14
100.5	4.226		14
101.0	4.155		
101.5	4.217		
102.0	4.347	14	
102.5	4.482		
103.0	4.622		
103.5	4.766		
104.0	4.911		
104.5	5.054		
105.0	5.192		
105.5	5.319		
106.0	5.428		
106.5	5.513		
107.0	5.568		
107.5	5.586		
108.0	5.564		
108.5	5.500		
109.0	5.394		
109.5	5.248		
110.0	5.069	14	
110.5	4.863		
111.0	4.639		
111.5	4.406		
112.0	4.175	14	
112.5	3.955		
113.0	3.757		
113.5	3.590		
114.0	3.463		
114.5	3.382		
115.0	3.355		
115.5	3.387		
116.0	3.482		
116.5	3.642		
